,Date,Percent Illumination,Total Crimes
1076,12/12/2017,31,182
1077,12/13/2017,22,170
1078,12/14/2017,15,174
1079,12/15/2017,9,199
1080,12/16/2017,4,165
1081,12/17/2017,1,172
1082,12/18/2017,0,162
1083,12/19/2017,1,180
1084,12/20/2017,3,196
1085,12/21/2017,8,140
1086,12/22/2017,13,187
1087,12/23/2017,20,131
1088,12/24/2017,29,119
1089,12/25/2017,38,80
1090,12/26/2017,48,112
1091,12/27/2017,59,178
1092,12/28/2017,69,133
1093,12/29/2017,79,182
1094,12/30/2017,88,149
1095,12/31/2017,94,146
