,Full Date,Percent Illumination,Total Crimes,% Illumination
851,2017-05-01,29.0,216,21-35%
852,2017-05-02,40.0,149,36-50%
853,2017-05-03,51.0,165,36-50%
854,2017-05-04,62.0,186,51-65%
855,2017-05-05,72.0,195,66-78%
856,2017-05-06,80.0,158,79-89%
857,2017-05-07,88.0,165,79-89%
858,2017-05-08,93.0,179,90-96%
859,2017-05-09,97.0,163,90-96%
860,2017-05-10,99.0,170,97-100%
861,2017-05-11,100.0,162,97-100%
862,2017-05-12,98.0,160,97-100%
863,2017-05-13,95.0,157,90-96%
864,2017-05-14,90.0,138,79-89%
865,2017-05-15,84.0,180,79-89%
866,2017-05-16,77.0,169,66-78%
867,2017-05-17,68.0,159,66-78%
868,2017-05-18,58.0,162,51-65%
869,2017-05-19,48.0,176,36-50%
870,2017-05-20,38.0,170,36-50%
871,2017-05-21,28.0,191,21-35%
872,2017-05-22,18.0,178,10-21%
873,2017-05-23,10.0,180,3-9%
874,2017-05-24,4.0,148,3-9%
875,2017-05-25,1.0,190,0-2%
876,2017-05-26,0.0,204,0-2%
877,2017-05-27,3.0,157,0-2%
878,2017-05-28,9.0,180,3-9%
879,2017-05-29,16.0,185,10-21%
880,2017-05-30,26.0,166,21-35%
881,2017-05-31,36.0,188,36-50%
882,2017-06-01,47.0,195,36-50%
883,2017-06-02,57.0,176,51-65%
884,2017-06-03,67.0,183,66-78%
885,2017-06-04,76.0,143,66-78%
886,2017-06-05,84.0,175,79-89%
887,2017-06-06,90.0,210,79-89%
888,2017-06-07,95.0,155,90-96%
889,2017-06-08,98.0,167,97-100%
890,2017-06-09,100.0,177,97-100%
891,2017-06-10,99.0,175,97-100%
892,2017-06-11,97.0,170,90-96%
893,2017-06-12,94.0,166,90-96%
894,2017-06-13,88.0,183,79-89%
895,2017-06-14,81.0,165,79-89%
896,2017-06-15,73.0,182,66-78%
897,2017-06-16,63.0,165,51-65%
898,2017-06-17,53.0,204,51-65%
899,2017-06-18,42.0,156,36-50%
900,2017-06-19,31.0,150,21-35%
901,2017-06-20,21.0,151,10-21%
902,2017-06-21,13.0,195,10-21%
903,2017-06-22,6.0,142,3-9%
904,2017-06-23,1.0,177,0-2%
905,2017-06-24,0.0,167,0-2%
906,2017-06-25,2.0,169,0-2%
907,2017-06-26,6.0,146,3-9%
908,2017-06-27,13.0,151,10-21%
909,2017-06-28,22.0,154,21-35%
910,2017-06-29,32.0,159,21-35%
911,2017-06-30,42.0,181,36-50%
912,2017-07-01,52.0,178,51-65%
913,2017-07-02,62.0,145,51-65%
914,2017-07-03,71.0,201,66-78%
915,2017-07-04,79.0,156,66-78%
916,2017-07-05,86.0,185,79-89%
917,2017-07-06,92.0,145,90-96%
918,2017-07-07,96.0,175,90-96%
919,2017-07-08,99.0,159,97-100%
920,2017-07-09,100.0,145,97-100%
921,2017-07-10,99.0,162,97-100%
922,2017-07-11,96.0,166,90-96%
923,2017-07-12,91.0,183,90-96%
924,2017-07-13,85.0,151,79-89%
925,2017-07-14,77.0,161,66-78%
926,2017-07-15,67.0,148,66-78%
927,2017-07-16,57.0,144,51-65%
928,2017-07-17,46.0,152,36-50%
929,2017-07-18,34.0,139,21-35%
930,2017-07-19,24.0,157,21-35%
931,2017-07-20,15.0,154,10-21%
932,2017-07-21,7.0,205,3-9%
933,2017-07-22,2.0,172,0-2%
934,2017-07-23,0.0,162,0-2%
935,2017-07-24,1.0,162,0-2%
936,2017-07-25,4.0,181,3-9%
937,2017-07-26,10.0,182,3-9%
938,2017-07-27,18.0,162,10-21%
939,2017-07-28,27.0,170,21-35%
940,2017-07-29,36.0,169,36-50%
941,2017-07-30,46.0,170,36-50%
942,2017-07-31,56.0,177,51-65%
943,2017-08-01,65.0,185,51-65%
944,2017-08-02,74.0,155,66-78%
945,2017-08-03,82.0,156,79-89%
946,2017-08-04,88.0,187,79-89%
947,2017-08-05,94.0,154,90-96%
948,2017-08-06,98.0,140,97-100%
949,2017-08-07,100.0,190,97-100%
950,2017-08-08,100.0,190,97-100%
951,2017-08-09,98.0,174,97-100%
952,2017-08-10,94.0,186,90-96%
953,2017-08-11,88.0,164,79-89%
954,2017-08-12,80.0,173,79-89%
955,2017-08-13,70.0,126,66-78%
956,2017-08-14,60.0,161,51-65%
957,2017-08-15,48.0,180,36-50%
958,2017-08-16,37.0,168,36-50%
959,2017-08-17,26.0,160,21-35%
960,2017-08-18,17.0,187,10-21%
961,2017-08-19,9.0,163,3-9%
962,2017-08-20,3.0,151,0-2%
963,2017-08-21,0.0,178,0-2%
964,2017-08-22,0.0,168,0-2%
965,2017-08-23,3.0,178,0-2%
966,2017-08-24,7.0,179,3-9%
967,2017-08-25,14.0,192,10-21%
968,2017-08-26,21.0,182,10-21%
969,2017-08-27,30.0,159,21-35%
970,2017-08-28,39.0,169,36-50%
971,2017-08-29,49.0,184,36-50%
972,2017-08-30,58.0,158,51-65%
973,2017-08-31,67.0,183,66-78%
974,2017-09-01,76.0,222,66-78%
975,2017-09-02,84.0,173,79-89%
976,2017-09-03,90.0,160,79-89%
977,2017-09-04,95.0,170,90-96%
978,2017-09-05,99.0,144,97-100%
979,2017-09-06,100.0,157,97-100%
980,2017-09-07,99.0,179,97-100%
981,2017-09-08,96.0,184,90-96%
982,2017-09-09,90.0,168,79-89%
983,2017-09-10,82.0,142,79-89%
984,2017-09-11,73.0,181,66-78%
985,2017-09-12,62.0,162,51-65%
986,2017-09-13,51.0,174,36-50%
987,2017-09-14,39.0,178,36-50%
988,2017-09-15,29.0,157,21-35%
989,2017-09-16,19.0,155,10-21%
990,2017-09-17,11.0,159,10-21%
991,2017-09-18,5.0,155,3-9%
992,2017-09-19,1.0,179,0-2%
993,2017-09-20,0.0,167,0-2%
994,2017-09-21,1.0,170,0-2%
995,2017-09-22,4.0,193,3-9%
996,2017-09-23,10.0,149,3-9%
997,2017-09-24,16.0,161,10-21%
998,2017-09-25,24.0,167,21-35%
999,2017-09-26,32.0,158,21-35%
1000,2017-09-27,42.0,153,36-50%
1001,2017-09-28,51.0,186,36-50%
1002,2017-09-29,60.0,190,51-65%
1003,2017-09-30,70.0,149,66-78%
1004,2017-10-01,78.0,180,66-78%
1005,2017-10-02,86.0,179,79-89%
1006,2017-10-03,92.0,160,90-96%
1007,2017-10-04,97.0,176,90-96%
1008,2017-10-05,100.0,144,97-100%
1009,2017-10-06,100.0,199,97-100%
1010,2017-10-07,97.0,157,90-96%
1011,2017-10-08,92.0,163,90-96%
1012,2017-10-09,85.0,177,79-89%
1013,2017-10-10,75.0,168,66-78%
1014,2017-10-11,65.0,184,51-65%
1015,2017-10-12,54.0,171,51-65%
1016,2017-10-13,42.0,189,36-50%
1017,2017-10-14,32.0,163,21-35%
1018,2017-10-15,22.0,169,21-35%
1019,2017-10-16,14.0,187,10-21%
1020,2017-10-17,7.0,180,3-9%
1021,2017-10-18,3.0,173,0-2%
1022,2017-10-19,1.0,158,0-2%
1023,2017-10-20,0.0,192,0-2%
1024,2017-10-21,2.0,169,0-2%
1025,2017-10-22,6.0,138,3-9%
1026,2017-10-23,11.0,154,10-21%
1027,2017-10-24,18.0,163,10-21%
1028,2017-10-25,25.0,187,21-35%
1029,2017-10-26,34.0,202,21-35%
1030,2017-10-27,43.0,181,36-50%
1031,2017-10-28,53.0,181,51-65%
1032,2017-10-29,62.0,190,51-65%
1033,2017-10-30,72.0,158,66-78%
1034,2017-10-31,81.0,170,79-89%
1035,2017-11-01,88.0,202,79-89%
1036,2017-11-02,94.0,163,90-96%
1037,2017-11-03,98.0,168,97-100%
1038,2017-11-04,100.0,155,97-100%
1039,2017-11-05,98.0,169,97-100%
1040,2017-11-06,94.0,134,90-96%
1041,2017-11-07,87.0,175,79-89%
1042,2017-11-08,79.0,148,66-78%
1043,2017-11-09,68.0,171,66-78%
1044,2017-11-10,57.0,159,51-65%
1045,2017-11-11,46.0,155,36-50%
1046,2017-11-12,36.0,147,36-50%
1047,2017-11-13,26.0,195,21-35%
1048,2017-11-14,17.0,170,10-21%
1049,2017-11-15,10.0,151,3-9%
1050,2017-11-16,5.0,175,3-9%
1051,2017-11-17,2.0,167,0-2%
1052,2017-11-18,0.0,164,0-2%
1053,2017-11-19,1.0,165,0-2%
1054,2017-11-20,3.0,159,0-2%
1055,2017-11-21,7.0,144,3-9%
1056,2017-11-22,12.0,179,10-21%
1057,2017-11-23,19.0,133,10-21%
1058,2017-11-24,27.0,187,21-35%
1059,2017-11-25,36.0,168,36-50%
1060,2017-11-26,45.0,133,36-50%
1061,2017-11-27,55.0,173,51-65%
1062,2017-11-28,65.0,125,51-65%
1063,2017-11-29,75.0,177,66-78%
1064,2017-11-30,84.0,195,79-89%
1065,2017-12-01,91.0,228,90-96%
1066,2017-12-02,97.0,181,90-96%
1067,2017-12-03,100.0,154,97-100%
1068,2017-12-04,99.0,185,97-100%
1069,2017-12-05,96.0,191,90-96%
1070,2017-12-06,90.0,175,79-89%
1071,2017-12-07,82.0,211,79-89%
1072,2017-12-08,73.0,170,66-78%
1073,2017-12-09,62.0,173,51-65%
1074,2017-12-10,51.0,167,36-50%
1075,2017-12-11,41.0,159,36-50%
1076,2017-12-12,31.0,176,21-35%
1077,2017-12-13,22.0,185,21-35%
1078,2017-12-14,15.0,193,10-21%
1079,2017-12-15,9.0,213,3-9%
1080,2017-12-16,4.0,174,3-9%
1081,2017-12-17,1.0,181,0-2%
1082,2017-12-18,0.0,200,0-2%
1083,2017-12-19,1.0,153,0-2%
1084,2017-12-20,3.0,174,0-2%
1085,2017-12-21,8.0,163,3-9%
1086,2017-12-22,13.0,180,10-21%
1087,2017-12-23,20.0,174,10-21%
1088,2017-12-24,29.0,134,21-35%
1089,2017-12-25,38.0,110,36-50%
1090,2017-12-26,48.0,127,36-50%
1091,2017-12-27,59.0,143,51-65%
1092,2017-12-28,69.0,166,66-78%
1093,2017-12-29,79.0,184,66-78%
1094,2017-12-30,88.0,146,79-89%
1095,2017-12-31,94.0,146,90-96%
